Sample	Population	Source	Haplotype	Sample_hap	x1	x2
HG00366	Finnish	1000G	1	HG00366_H2	31.52457358148505	-56.515840577855855
HG00367	Finnish	1000G	0	HG00367_H1	32.565051652249025	-53.739408578529776
HG00367	Finnish	1000G	1	HG00367_H2	32.32860606415525	-55.938911854673414
HG00368	Finnish	1000G	0	HG00368_H1	31.359144455022864	-54.463214829446514
HG00368	Finnish	1000G	1	HG00368_H2	32.251978071256524	-54.809724190677315
HG00369	Finnish	1000G	0	HG00369_H1	33.2058756426606	-55.83750836707566
HG00369	Finnish	1000G	1	HG00369_H2	31.289685867098072	-55.745753752915945
HG00371	Finnish	1000G	0	HG00371_H1	31.539200640307143	-55.143566441964936
HG00371	Finnish	1000G	1	HG00371_H2	31.94854088781633	-56.57807457808575
HG00372	Finnish	1000G	0	HG00372_H1	33.40736452082907	-56.77230157433294
HG00372	Finnish	1000G	1	HG00372_H2	33.05535395099619	-56.926468090289674
HG00373	Finnish	1000G	0	HG00373_H1	32.52669720869536	-55.26643034017283
HG00373	Finnish	1000G	1	HG00373_H2	33.142835502778475	-51.001254703953464
HG00375	Finnish	1000G	0	HG00375_H1	31.218851471057555	-57.72466636005757
HG00375	Finnish	1000G	1	HG00375_H2	32.009479208849186	-56.34844642902144
HG00376	Finnish	1000G	0	HG00376_H1	31.437237494589212	-57.94933341319792
HG00376	Finnish	1000G	1	HG00376_H2	31.502793961922954	-60.088882716322914
HG00378	Finnish	1000G	0	HG00378_H1	31.024716997892057	-55.98824377295587
HG00378	Finnish	1000G	1	HG00378_H2	32.421758053485355	-56.75052685781516
HG00379	Finnish	1000G	0	HG00379_H1	31.755891026467467	-57.650517964734746
HG00379	Finnish	1000G	1	HG00379_H2	31.855264516091104	-56.82707062324524
HG00380	Finnish	1000G	0	HG00380_H1	30.746223562994174	-59.86646011703661
HG00380	Finnish	1000G	1	HG00380_H2	29.478552408359604	-60.423400846837836
HG00381	Finnish	1000G	0	HG00381_H1	32.01813814230855	-57.67453114419557
HG00381	Finnish	1000G	1	HG00381_H2	32.755102826842524	-56.84349463575657
HG00382	Finnish	1000G	0	HG00382_H1	31.441537298280608	-54.73073451844282
HG00382	Finnish	1000G	1	HG00382_H2	32.2305711474172	-54.932673800558234
HG00383	Finnish	1000G	0	HG00383_H1	32.77498319503709	-55.66089926139599
HG00383	Finnish	1000G	1	HG00383_H2	30.650036401353596	-54.884229046972024
HG00384	Finnish	1000G	0	HG00384_H1	32.489275598667476	-57.67476777333421
HG00384	Finnish	1000G	1	HG00384_H2	31.934046030578777	-57.22667429607718
HG00403	Southern Han Chinese	1000G	0	HG00403_H1	47.77345052622318	68.39663163763062
HG00403	Southern Han Chinese	1000G	1	HG00403_H2	46.8799106382662	67.9499728776172
HG00404	Southern Han Chinese	1000G	0	HG00404_H1	47.33464230176755	68.49533843628234
HG00404	Southern Han Chinese	1000G	1	HG00404_H2	49.11122887150224	68.6629223529776
HG00409	Southern Han Chinese	1000G	0	HG00409_H1	48.8639397737282	69.6419369616547
HG00409	Southern Han Chinese	1000G	1	HG00409_H2	49.12328209230245	68.01389229188152
HG00410	Southern Han Chinese	1000G	0	HG00410_H1	47.470123069943945	67.54714435250796
HG00410	Southern Han Chinese	1000G	1	HG00410_H2	47.713060550214884	67.74469771482428
HG00419	Southern Han Chinese	1000G	0	HG00419_H1	48.2058290804686	68.46868921474058
HG00419	Southern Han Chinese	1000G	1	HG00419_H2	47.369286868483464	68.41263214691952
HG00428	Southern Han Chinese	1000G	0	HG00428_H1	48.72764619390821	68.62242647348147
HG00428	Southern Han Chinese	1000G	1	HG00428_H2	49.80198101561957	68.49069506571388
HG00442	Southern Han Chinese	1000G	0	HG00442_H1	49.2731448609562	69.5279436530536
HG00442	Southern Han Chinese	1000G	1	HG00442_H2	47.60773444743845	69.2619687546959
HG00443	Southern Han Chinese	1000G	0	HG00443_H1	47.919621586524606	67.54310828960635
HG00443	Southern Han Chinese	1000G	1	HG00443_H2	47.83272757071017	68.3235260150981
HG00445	Southern Han Chinese	1000G	0	HG00445_H1	48.5210017362813	68.02177336482822
HG00445	Southern Han Chinese	1000G	1	HG00445_H2	48.14148135204274	67.0997169801611
HG00446	Southern Han Chinese	1000G	0	HG00446_H1	49.165418628703925	67.45366424898208
HG00446	Southern Han Chinese	1000G	1	HG00446_H2	48.57138627087688	69.23390997398982
HG00448	Southern Han Chinese	1000G	0	HG00448_H1	47.08923355082427	69.41951776711366
HG00448	Southern Han Chinese	1000G	1	HG00448_H2	47.98306486433177	67.53765791487551
HG00449	Southern Han Chinese	1000G	0	HG00449_H1	48.05782355654123	68.31422226515244
HG00449	Southern Han Chinese	1000G	1	HG00449_H2	47.7875195446014	69.7016513115182
